GenreID,Name,ShowID,MovieID
1,Documentaries,,1
2,International TV Shows,1,
3,TV Dramas,1,
4,TV Mysteries,1,
5,Crime TV Shows,2,
2,International TV Shows,2,
7,TV Action & Adventure,2,
8,Docuseries,3,
9,Reality TV,3,
2,International TV Shows,4,
11,Romantic TV Shows,4,
12,TV Comedies,4,
3,TV Dramas,5,
14,TV Horror,5,
4,TV Mysteries,5,
16,Children & Family Movies,,2
17,Dramas,,3
18,Independent Movies,,3
19,International Movies,,3
20,British TV Shows,6,
9,Reality TV,6,
22,Comedies,,4
17,Dramas,,4
5,Crime TV Shows,7,
8,Docuseries,7,
2,International TV Shows,7,
5,Crime TV Shows,8,
2,International TV Shows,8,
7,TV Action & Adventure,8,
17,Dramas,,5
19,International Movies,,5
16,Children & Family Movies,,6
22,Comedies,,6
20,British TV Shows,9,
5,Crime TV Shows,9,
8,Docuseries,9,
12,TV Comedies,10,
3,TV Dramas,10,
1,Documentaries,,7
19,International Movies,,7
5,Crime TV Shows,11,
42,Spanish-Language TV Shows,11,
3,TV Dramas,11,
44,Thrillers,,8
2,International TV Shows,12,
42,Spanish-Language TV Shows,12,
7,TV Action & Adventure,12,
5,Crime TV Shows,13,
8,Docuseries,13,
2,International TV Shows,13,
2,International TV Shows,14,
7,TV Action & Adventure,14,
3,TV Dramas,14,
22,Comedies,,9
19,International Movies,,9
16,Children & Family Movies,,10
22,Comedies,,11
19,International Movies,,11
59,Romantic Movies,,11
8,Docuseries,15,
2,International TV Shows,15,
9,Reality TV,15,
22,Comedies,,12
19,International Movies,,12
65,Music & Musicals,,12
22,Comedies,,13
67,Horror Movies,,14
68,Sci-Fi & Fantasy,,14
44,Thrillers,,15
17,Dramas,,16
18,Independent Movies,,16
19,International Movies,,16
12,TV Comedies,16,
20,British TV Shows,17,
2,International TV Shows,17,
12,TV Comedies,17,
2,International TV Shows,18,
3,TV Dramas,18,
79,TV Thrillers,18,
80,Kids' TV,19,
17,Dramas,,17
19,International Movies,,17
44,Thrillers,,17
84,Action & Adventure,,18
17,Dramas,,18
19,International Movies,,18
80,Kids' TV,20,
12,TV Comedies,20,
84,Action & Adventure,,19
17,Dramas,,19
80,Kids' TV,21,
80,Kids' TV,22,
93,TV Sci-Fi & Fantasy,22,
84,Action & Adventure,,20
95,Classic Movies,,20
17,Dramas,,20
17,Dramas,,21
67,Horror Movies,,21
44,Thrillers,,21
84,Action & Adventure,,22
67,Horror Movies,,22
44,Thrillers,,22
84,Action & Adventure,,23
67,Horror Movies,,23
44,Thrillers,,23
1,Documentaries,,24
84,Action & Adventure,,25
2,International TV Shows,23,
