MovieID,Name,Date_Added,Release_Year,Rating,Duration(minutes),Description
1,Dick Johnson Is Dead,"September 25, 2021",2020,PG-13,90,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
2,My Little Pony: A New Generation,"September 24, 2021",2021,PG,91,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it."
3,Sankofa,"September 24, 2021",1993,TV-MA,125,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
4,The Starling,"September 24, 2021",2021,PG-13,104,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
5,Je Suis Karl,"September 23, 2021",2021,TV-MA,127,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
6,Confessions of an Invisible Girl,"September 22, 2021",2021,TV-PG,91,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas."
7,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"September 22, 2021",2020,TV-MA,67,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."
8,Intrusion,"September 22, 2021",2021,TV-14,94,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
9,Avvai Shanmughi,"September 21, 2021",1996,TV-PG,161,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her."
10,Go! Go! Cory Carson: Chrissy Takes the Wheel,"September 21, 2021",2021,TV-Y,61,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
11,Jeans,"September 21, 2021",1998,TV-14,166,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
12,Minsara Kanavu,"September 21, 2021",1997,TV-PG,147,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.
13,Grown Ups,"September 20, 2021",2010,PG-13,103,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
14,Dark Skies,"September 19, 2021",2013,PG-13,97,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
15,Paranoia,"September 19, 2021",2013,PG-13,106,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
16,Ankahi Kahaniya,"September 17, 2021",2021,TV-14,111,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
