DirectorID,Name,ShowID
747,Julien Leclercq,2
2672,Mike Flanagan,5
4779,Andy Devonshire,6
4780,Kongkiat Komesiri,8
1407,Olivier Megaton,13
1784,Bunmi Ajakaiye,23
4781,Jason Hehir,46
1553,Luis Alfaro,51
1554,Javier Gómez Santander,51
4782,Gerhard Mostert,60
43,Kemi Adetiba,73
229,Brad Anderson,79
4783,Mauricio Dias,80
4784,Tatiana Villela,80
4785,Juan Carlos Medina,99
4786,Inma Torrente,102
4787,Sakon Tiacharoen,106
690,Bejoy Nambiar,111
2357,Priyadarshan,111
2358,Karthik Narain,111
2359,Vasanth Sai,111
412,Karthik Subbaraj,111
413,Arvind Swamy,111
153,Rathindran R Prasad,111
2235,Sarjun,111
2236,Gautham Vasudev Menon,111
1993,Billy Corben,113
4788,Hsu Fu-chun,117
4789,Glen Winter,135
4790,Royale Watkins,140
4791,Rich Schlansker,140
4792,Garrett Bradley,155
4793,Jan Holoubek,171
1604,Malik Nejer,210
4794,Sidharta Tata,211
4795,Aco Tenriyagelli,211
4796,Dian Sastrowardoyo,211
3636,Ifa Isfansyah,211
3637,Jason Iskandar,211
4797,Shen Leping,216
4062,John Dower,218
4798,Srijit Mukherji,222
2069,Vasan Bala,222
20,Abhishek Chaubey,222
4799,Fernando Moro,237
4800,Ivan Andrew Payawal,239
4801,Rob Seidenglanz,246
4802,Simon Frederick,251
4787,Hsu Fu-chun,256
4803,Sarawut Wichiensarn,263
1736,Michael Simon,271
2091,Joe Berlinger,273
2092,Bruce Sinofsky,273
4804,Jay Oliva,277
4805,Ally Pankiw,283
4806,Chiaki Kon,287
4807,Takuya Igarashi,294
4808,José Larraza,300
4809,Marc Pons,300
4810,Gary Sing,301
4811,Daniel Minahan,316
4812,Uzodinma Okpechi,320
4813,Cai Cong,323
4814,Vijay Roche,327
4815,Joshua Zeman,329
2140,Oriol Paulo,337
4816,Kongkiat Khomsiri,343
4817,Glenn Weiss,354
4818,Pass Patthanakumjon,372
4819,Moyoung Jin,374
4820,Caroline Sá,374
4821,Deepti Kakkar,374
4822,Fahad Mustafa,374
4823,Hikaru Toda,374
4824,Chico Pereira,374
2525,Elaine McMillion Sheldon,374
4825,Adrián García Bogliano,389
4826,Jung-ah Im,398
4827,Alain Brunard,405
4828,Ange Basterga,413
4829,Nicolas Lopez,413
4830,Maribel Sánchez-Maroto,420
3527,Jared Hess,423
3528,Tyler Measom,423
4831,Sunny Lau,425
4832,Tharun Bhascker Dhaassyam,436
1946,B. V. Nandini Reddy,436
1947,Nag Ashwin,436
1948,Sankalp Reddy,436
2091,Joe Berlinger,452
4833,Richard Arellano,465
4139,Tiller Russell,486
4834,Juliet May,487
4835,Maite Ruiz De Austri,491
4836,Tony Collingwood,503
2823,Cosima Spender,509
4837,Sudha Kongara,522
4838,Vignesh Shivan,522
2235,Gautham Vasudev Menon,522
2236,Vetri Maaran,522
4839,Alexx Media,525
4840,Andrucha Waddington,526
4841,Pedro Waddington,526
4842,Picky Talarico,527
4843,Ellena Wood,531
4844,Jesse Vile,531
4845,Lai Chun-yu,543
2845,Jalil Lespert,553
4846,Su I-Hsuan,554
4847,Chuang Shiang-an,554
4848,Liu Yi,554
664,BB Sasore,577
2472,Mateo Gil,593
4849,Carla Barros,596
1977,Steven Bognar,600
1978,Julia Reichert,600
4850,Alejandro Hartmann,606
4851,Juliana Vicente,622
4852,Chang Chin-jung,630
4853,Chen Rong-hui,630
2760,Thierry Demaizière,632
2761,Alban Teurlai,632
404,Manolo Caro,640
4854,Pavel Kostomarov,654
4855,Philippa Lowthorpe,695
4856,Kenny Ortega,703
4857,Pepe Mora,705
4858,Greg Tiernan,723
4859,Hong Won-ki,735
4860,Nopparoj Chotmunkongsit,773
4861,Alex Gibney,777
4862,Cassia Dian,791
4863,Wouter Bouvijn,794
4864,Rachit Kusonkoonsiri,799
3282,Kyran Kelly,809
4800,Rob Seidenglanz,836
4865,Phil Sgriccia,843
4866,Jesse Warn,856
4867,Norm Hiscock,860
3028,Gary Howsam,860
2632,Mike Smith,860
2633,John Paul Tremblay,860
2634,Robb Wells,860
1630,Marcus Raboy,864
1069,Ziad Doueiri,871
4868,Sivaroj Kongsakul,876
4869,Damien Chazelle,885
2964,Houda Benyamina,885
2965,Laïla Marrakchi,885
2966,Alan Poul,885
4870,He Xiaofeng,887
4871,Hernán Guerschuny,888
1911,Sion Sono,902
4872,David Chuang,903
4873,Chen Kuan-chung,903
1916,Ryan Polito,919
4874,Adrien Lagier,928
4875,Ousmane Ly,928
4876,Stefano Lodovichi,932
4877,Vijay S. Bhanushali,947
4878,Eric Goode,966
4879,Rebecca Chaiklin,966
4880,Lynn Novick,972
251,Kim Seong-hun,975
4881,Carlos Sedes,982
4882,Ali Kalthami,992
4883,Meshal Aljaser,992
1125,Faris Godus,992
1126,Mohamed al Salman,992
1127,Faisal al Amer,992
4884,Mick Grogan,996
1168,Tosin Coker,1003
4885,Pantham Thongsang,1009
4886,Cheewatan Pusitsuksa,1009
4887,James Bamford,1018
4888,Julia Willoughby Nason,1019
4889,Jenner Furst,1019
2937,Thomas Astruc,1023
4890,Quek Shio-chuan,1042
1323,Soumendra Padhi,1058
3553,Justin Webster,1074
4891,Lee Toland Krieger,1089
4892,Mark Lewis,1097
1357,Obi Emelonye,1102
1829,Tsutomu Mizushima,1103
4893,Michel Tikhomiroff,1109
3452,Robert Kenner,1110
3453,Taki Oldham,1110
4894,DJ Chen,1185
4895,Park Joon-hwa,1187
4896,Ahmet Katıksız,1213
4897,Lee Yoon-jung,1229
4898,Danny Cannon,1238
4899,Mariano Barroso,1247
4900,Kiko Cruz Claverol,1250
2084,Patricia Font,1250
4901,Hayato Date,1262
895,Vikramaditya Motwane,1282
987,Anurag Kashyap,1282
4902,Cho Li,1283
4903,Chen Hung-yi,1283
1011,Weica Wang,1283
1012,Liu Bang-yao,1283
1013,Lin Guan-fu,1283
1014,Shen Chi,1283
1015,YC Tom Lee,1283
4904,Jesse Moss,1290
4905,Shin Won-ho,1298
4904,Shin Won-ho,1299
2963,Jerry Seinfeld,1310
4906,Luis Alberto Restrepo,1348
4907,Andrés Beltrán,1348
4908,Jaime Rayo,1348
4909,Elías León,1360
4910,Diego Enrique Osorno,1390
4911,Felipe Cano,1417
246,Quentin Tarantino,1433
4912,Lee Kyoungmi,1442
4913,Yim Pilsung,1442
4914,Jeon Go-woon,1442
4915,Kim Jong-kwan,1442
4916,Lars Kaalund,1502
4917,Seren Yüce,1530
4320,Noam Murro,1556
360,Joel Gallen,1569
2544,Tig Notaro,1569
4918,Mat King,1583
4919,Padraic McKinley,1637
4920,Peter Ho,1684
4921,Patrick Graham,1693
4922,Han Qing,1694
4923,Lee Eung-bok,1725
4924,Trey Borzillieri,1752
4925,Barbara Schroeder,1752
4926,Dawn Porter,1759
4927,Dan Lucchesi,1778
4928,Kazuya Murata,1786
2994,Dan Forrer,1802
2244,Kobun Shizuno,1809
2245,Hiroyuki Seshita,1809
1606,Masaaki Yuasa,1813
4929,Yasuhiro Irie,1815
1971,Stan Lathan,1819
3725,Daniel Kontur,1823
4930,Olivier Jean-Marie,1834
511,David Ayer,1841
4931,Go Koga,1850
4932,Pali Yahya,1854
4933,Vanessa Roth,1921
4934,Eric Abrams,1922
4935,Stefan Brogren,1924
4936,Serdar Akar,1929
4937,Iginio Straffi,1950
4938,Chang-Min Lee,1953
3054,Jill Bauer,1976
3055,Ronna Gradus,1976
2456,Rashida Jones,1976
4939,Laurent Bouzereau,1981
4940,Gordon Anderson,1982
1971,Stan Lathan,1984
4941,James Hawes,2017
4942,David Schalko,2053
37,Tensai Okamura,2072
1838,Eli Roth,2091
4943,Nizar Shafi,2108
4825,Jung-ah Im,2114
4826,Seung-uk Jo,2114
4944,Sharon Grimberg,2124
4945,Miguel Conde,2157
4946,Cecilia Peck,2167
4947,Carlos Bolado,2178
4948,James Lee,2247
4949,Ian Barber,2253
1104,Alastair Fothergill,2268
4950,Guy Vasilovich,2277
4951,Neslihan Yesilyurt,2283
4952,Ah Loong,2296
4953,Stuart Orme,2332
4954,Toby Haynes,2338
3495,Ken Burns,2344
3495,Ken Burns,2345
4955,Steve Greenwood,2352
4956,Alejandro Lozano,2363
3285,Andrew Tan,2370
3286,Stephen Murray,2370
4957,Onur Ünlü,2372
4958,Jakob Verbruggen,2382
1840,Alessandro Angulo,2384
4936,Iginio Straffi,2392
4959,Everardo Gout,2402
4960,Rachel Bell,2420
727,Oliver Stone,2449
4961,Peter McDonnell,2455
4962,Oscar Micheaux,2466
4963,Spencer Williams,2466
4964,Richard E. Norman,2466
4965,Richard Maurice,2466
1104,Alastair Fothergill,2468
4966,Bhavik Thakore,2492
4242,Jani Lachauer,2510
4243,Jakob Schuh,2510
4476,Jay Chandrasekhar,2516
4967,Ehtesham Uddin,2520
4968,Dheeraj Berry,2559
1023,Estela Renner,2569
1104,Alastair Fothergill,2572
4969,Bumpy,2574
4970,Michael Samuels,2583
3750,Mark Tonderai,2584
3495,Ken Burns,2631
4879,Lynn Novick,2631
4971,Michael Cumming,2642
